rl_loss/qf1_loss,rl_loss/qf2_loss,rl_loss/policy_loss,rl_loss/policy_entropy,rl_loss/alpha,z/env_steps,z/rollouts,z/rl_steps,metrics/return_eval_avg,metrics/total_steps_eval_avg,z/time_cost,z/fps
0.0028,0.0007,-6.5247,0.0,0.1,,,,,,,
0.0026,0.0011,-6.4671,0.0,0.1,,,,,,,
0.0032,0.006,-6.5069,0.0,0.1,,,,,,,
0.0023,0.0019,-6.4694,0.0,0.1,,,,,,,
0.0051,0.0041,-6.4655,0.0,0.1,,,,,,,
0.0005,0.0016,-6.5559,0.0,0.1,,,,,,,
0.0043,0.006,-6.4588,0.0,0.1,,,,,,,
0.0021,0.002,-6.5103,0.0,0.1,,,,,,,
0.0036,0.0046,-6.4808,0.0,0.1,,,,,,,
0.0011,0.0008,-6.5979,0.0,0.1,,,,,,,
0.0025,0.0042,-6.5261,0.0,0.1,,,,,,,
0.0042,0.0028,-6.5488,0.0,0.1,,,,,,,
0.0022,0.0031,-6.4975,0.0,0.1,,,,,,,
0.0021,0.0057,-6.4984,0.0,0.1,,,,,,,
0.0028,0.0013,-6.5313,0.0,0.1,,,,,,,
,,,,,80133,5445,216000,6.0,7.0,1890,20.9212
0.0041,0.0014,-6.5055,0.0,0.1,,,,,,,
0.0019,0.0051,-6.4991,0.0,0.1,,,,,,,
0.0026,0.0022,-6.5517,0.0,0.1,,,,,,,
0.0033,0.0033,-6.5317,0.0,0.1,,,,,,,
0.0025,0.0032,-6.494,0.0,0.1,,,,,,,
0.0042,0.0039,-6.5372,0.0,0.1,,,,,,,
0.0018,0.003,-6.613,0.0,0.1,,,,,,,
0.0022,0.0027,-6.5849,0.0,0.1,,,,,,,
0.0026,0.0026,-6.5702,0.0,0.1,,,,,,,
0.0042,0.0047,-6.5304,0.0,0.1,,,,,,,
0.0027,0.0037,-6.6203,0.0,0.1,,,,,,,
0.0011,0.003,-6.5924,0.0,0.1,,,,,,,
0.0008,0.0008,-6.6012,0.0,0.1,,,,,,,
0.0052,0.0046,-6.6085,0.0,0.1,,,,,,,
,,,,,82583,5795,230000,6.0,7.0,2007,20.8981
0.0019,0.0044,-6.6605,0.0,0.1,,,,,,,
0.0024,0.0016,-6.537,0.0,0.1,,,,,,,
0.0036,0.0036,-6.5297,0.0,0.1,,,,,,,
0.0016,0.0037,-6.6255,0.0,0.1,,,,,,,
0.0028,0.0017,-6.6141,0.0,0.1,,,,,,,
0.0024,0.0027,-6.6252,0.0,0.1,,,,,,,
0.0021,0.0034,-6.5895,0.0,0.1,,,,,,,
0.0027,0.0034,-6.6058,0.0,0.1,,,,,,,
0.0028,0.0037,-6.6083,0.0,0.1,,,,,,,
0.002,0.001,-6.5991,0.0,0.1,,,,,,,
0.0012,0.0012,-6.63,0.0,0.1,,,,,,,
0.0061,0.0079,-6.5776,0.0,0.1,,,,,,,
0.0008,0.0011,-6.6457,0.0,0.1,,,,,,,
0.0038,0.0047,-6.6213,0.0,0.1,,,,,,,
,,,,,85033,6145,244000,6.0,7.0,2124,20.9376
0.002,0.0013,-6.6568,0.0,0.1,,,,,,,
0.0031,0.0042,-6.6109,0.0,0.1,,,,,,,
0.0019,0.0008,-6.6412,0.0,0.1,,,,,,,
0.0019,0.0032,-6.6342,0.0,0.1,,,,,,,
0.0028,0.0033,-6.647,0.0,0.1,,,,,,,
0.0018,0.0014,-6.656,0.0,0.1,,,,,,,
0.0033,0.0055,-6.5733,0.0,0.1,,,,,,,
0.003,0.0025,-6.6512,0.0,0.1,,,,,,,
0.0021,0.0015,-6.6828,0.0,0.1,,,,,,,
0.0019,0.0023,-6.6316,0.0,0.1,,,,,,,
0.0036,0.0046,-6.7075,0.0,0.1,,,,,,,
0.0012,0.0014,-6.6931,0.0,0.1,,,,,,,
0.0033,0.0038,-6.6442,0.0,0.1,,,,,,,
0.003,0.0043,-6.7192,0.0,0.1,,,,,,,
0.0006,0.0026,-6.6907,0.0,0.1,,,,,,,
,,,,,87658,6520,259000,6.0,7.0,2250,20.9183
0.002,0.0017,-6.6707,0.0,0.1,,,,,,,
0.0049,0.003,-6.6697,0.0,0.1,,,,,,,
0.001,0.0046,-6.6765,0.0,0.1,,,,,,,
0.0007,0.0006,-6.6765,0.0,0.1,,,,,,,
0.004,0.0052,-6.6806,0.0,0.1,,,,,,,
0.0041,0.0043,-6.7006,0.0,0.1,,,,,,,
0.0013,0.0017,-6.7242,0.0,0.1,,,,,,,
0.0036,0.0047,-6.6794,0.0,0.1,,,,,,,
0.0022,0.002,-6.683,0.0,0.1,,,,,,,
0.0025,0.004,-6.7091,0.0,0.1,,,,,,,
0.0035,0.0044,-6.7532,0.0,0.1,,,,,,,
0.0009,0.0017,-6.7011,0.0,0.1,,,,,,,
0.0016,0.0015,-6.7065,0.0,0.1,,,,,,,
0.0031,0.0057,-6.7091,0.0,0.1,,,,,,,
,,,,,90108,6870,273000,6.0,7.0,2367,20.9561
0.0029,0.0028,-6.698,0.0,0.1,,,,,,,
